text,sentiment
مجھے یہ پروڈکٹ بہت پسند آیا!!!,positive
یہ بہت خراب ہے!!!,negative
<p>بہت اچھی سروس</p> دوبارہ خریدوں گا,positive
یہ سب سے برا تجربہ تھا!!!,negative
بہت زبردست!!! https://shop.com,positive
پیسے ضائع ہوگئے!!!,negative
میں بہت خوش ہوں,positive
<div>برا تجربہ</div>,negative
سب سے بہترین پروڈکٹ!!!,positive
میں بہت مایوس ہوں,negative
واہ!!! بہت اچھا,positive
ایک دن میں خراب ہوگیا!!!,negative
<b>مجھے پسند آیا</b>,positive
بہت ہی خراب پروڈکٹ,negative
فاسٹ ڈیلیوری!!!,positive
ڈیلیوری بہت لیٹ تھی,negative
مجھے اچھا لگا,positive
ٹھیک ہے لیکن زیادہ اچھا نہیں,negative
<html>بہت اچھا ڈیل</html>,positive
براہ کرم ریفنڈ دیں!!!,negative
عمدہ کوالٹی!!!,positive
خراب کسٹمر سپورٹ,negative
بہت اچھا!!!,positive
قیمت کے مطابق نہیں,negative
میں ضرور recommend کروں گا,positive
کام کرنا بند ہوگیا,negative
<span>اچھا پروڈکٹ</span>,positive
بہت برا!!!,negative
دوبارہ آرڈر کروں گا https://buy.com,positive
ٹوٹا ہوا ملا,negative
بہت ہی زبردست!!!,positive
سستی کوالٹی,negative
مجھے بہت خوشی ہوئی,positive
بہت خراب!!!,negative
<h1>پرفیکٹ</h1>,positive
باکس میں آئٹم نہیں تھا,negative
بہت اچھا کام کرتا ہے,positive
بہت برا سمیل آتا ہے,negative
میں مطمئن ہوں,positive
پیسے ضائع مت کریں,negative
لاجواب!!!,positive
بہت سلو رسپانس,negative
قیمت کے لحاظ سے اچھا ہے,positive
پیکجنگ خراب تھی,negative
مجھے استعمال کرنا پسند آیا,positive
بہت برا تجربہ!!!,negative
اچھی سپورٹ ٹیم,positive
اسٹاف بدتمیز ہے,negative
بہت خوبصورت!!!,positive
میں recommend نہیں کروں گا,negative
