text,sentiment
मला हा प्रोडक्ट खूप आवडला!!!,positive
हे खूप वाईट आहे!!!,negative
<p>खूप छान सेवा</p> पुन्हा घेईन,positive
सगळ्यात वाईट अनुभव!!!,negative
खूपच भारी!!! https://shop.com,positive
पैसे वाया गेले!!!,negative
मी खूप खुश आहे,positive
<div>खराब अनुभव</div>,negative
सर्वात बेस्ट प्रोडक्ट!!!,positive
खूप निराश झालो,negative
वा!!! खूप छान,positive
१ दिवसात तुटलं!!!,negative
<b>मस्त आहे</b>,positive
भयंकर प्रोडक्ट,negative
फास्ट डिलिव्हरी!!!,positive
लेट डिलिव्हरी,negative
मला आवडलं,positive
ठीक आहे पण फार चांगलं नाही,negative
<html>खूप चांगला डील</html>,positive
रिफंड पाहिजे!!!,negative
उत्तम क्वालिटी!!!,positive
खराब कस्टमर सपोर्ट,negative
खूप चांगलं!!!,positive
किंमतीप्रमाणे नाही,negative
मी नक्की recommend करेन,positive
काम करेनासं झालं,negative
<span>छान प्रोडक्ट</span>,positive
फार वाईट!!!,negative
पुन्हा ऑर्डर करेन https://buy.com,positive
तुटलेलं आलं,negative
खूपच चांगलं!!!,positive
स्वस्त क्वालिटी,negative
खूप आनंद झाला,positive
फार खराब!!!,negative
<h1>परफेक्ट</h1>,positive
बॉक्समध्ये आयटम नव्हता,negative
खूप छान काम करतं,positive
वाईट वास येतो,negative
मी समाधानी आहे,positive
पैसे वाया घालवू नका,negative
अप्रतिम!!!,positive
स्लो रिस्पॉन्स,negative
पैशासाठी योग्य,positive
पॅकेजिंग खराब,negative
मला वापरायला आवडलं,positive
भयंकर अनुभव!!!,negative
छान सपोर्ट टीम,positive
स्टाफ रude आहे,negative
खूप सुंदर!!!,positive
मी recommend करणार नाही,negative
