text,sentiment
I LOVE this product!!! 😍😍,positive
This is TERRIBLE... worst ever!!!,negative
<p>Amazing service</p> will buy again!!,positive
soooo bad 😡😡 never buying again,negative
Great quality!! visit https://example.com,positive
Waste of money!!! ???,negative
I am VERY HAPPY with this 😁,positive
<div>awfull experiance</div>,negative
Best purchase ever!!! 💯,positive
Not good... very disapointed,negative
WOW!!! This is AWESOME!!!,positive
ugh... this broke in 1 day,negative
<b>LOVE IT</b> so much!!!,positive
terrble product... dont buy,negative
Super fast delivery!!! 🚀,positive
Late shipping and bad packging,negative
I like it :) works well,positive
meh... its ok I guess,negative
<html>fantastic deal</html>,positive
refund please!!! very bad,negative
Excellent quality!!! 👍,positive
worst customer suport ever,negative
good good good!!! 😄,positive
not worth the price!!!,negative
Totally recomend this product,positive
It stoped working 😭,negative
<span>great item</span> love it,positive
very very disapointing!!!,negative
Nice!! will order again https://shop.com,positive
broken piece recived,negative
SO GOOD!!!,positive
cheap quality :(,negative
happy with purchase 😊,positive
this is soooo bad!!!,negative
<h1>PERFECT</h1> item,positive
item missing from box!!!,negative
Works GREAT!!! no issues,positive
bad smell and poor build,negative
I am satisfied 👍,positive
dont waste ur money!!!,negative
Fantastic!!! love love love,positive
very slow responce,negative
Good value for money 💰,positive
packaging was torn,negative
really enjoyed using it,positive
horrble experiance!!!,negative
Great support team!!!,positive
rude staff 😡,negative
Absolutely wonderful!!!,positive
not recomended at all,negative
